ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck845brt321d90813mmz1743c,ck84591igdazw0go6c1n1asdh,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2Fd4f36ce5-0f14-3b31-32ea-dae44300aba9-0%20(1).png?Expires=1586158262913&KeyName=labelbox-assets-key-1&Signature=0fpiE9QCOhgMa_XLuiFz-D0fWmQ,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948353000,1584948353000,35.304,0 (1).png,,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845brt321d90813mmz1743c
ck845c3rsmumb089981kryzsa,ck84591igdb080go68r27gm1f,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2Fd13b325a-3866-52a3-6056-8a2800a55415-0%20(6).png?Expires=1586158262913&KeyName=labelbox-assets-key-1&Signature=lbqpfxttUXQy_uXiugYDU8TIWco,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948368000,1584948368000,14.78,0 (6).png,,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845c3rsmumb089981kryzsa
ck845cee8uhu40826ad20qddu,ck84591igdb000go6hndp42e9,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2F1ff3d722-0076-433a-c265-8cb25b37536b-0%20(2).png?Expires=1586158262913&KeyName=labelbox-assets-key-1&Signature=klkg7a3QZv6jgkzeHO9NnkzuD9Y,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":99,""y"":0},{""x"":99,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948382000,1584948382000,13.064,0 (2).png,,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845cee8uhu40826ad20qddu
ck845ec8t7mah0981rgrywmhv,ck84591igdb0c0go60mcb1lq2,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2F88141069-fcdf-4477-7412-4c3d11a12618-0%20(9).png?Expires=1586158262913&KeyName=labelbox-assets-key-1&Signature=ak-pDP_fRL4pTixjryfG0wVfIeY,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":0,""y"":90},{""x"":100,""y"":90},{""x"":100,""y"":0}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948472000,1584948535000,18.713,0 (9).png,0.99,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845ec8t7mah0981rgrywmhv
ck845f7jh22p808136ktejeyh,ck84591igdb040go64ge3eyex,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2Fea7b4eab-0ac3-9782-07f6-4fb9288b6323-0%20(5).png?Expires=1586158262913&KeyName=labelbox-assets-key-1&Signature=5lSM47BSOctIZnIirsrOWBUlMOQ,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":89},{""x"":0,""y"":89}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948513000,1584948513000,23.501,0 (5).png,,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845f7jh22p808136ktejeyh
ck845fo4amw2o0899cri2b74i,ck84591igdb0c0go60mcb1lq2,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2F88141069-fcdf-4477-7412-4c3d11a12618-0%20(9).png?Expires=1586158262914&KeyName=labelbox-assets-key-1&Signature=8uB0w-EpJKhBq0r2iVkviHjMHl0,"{""0"":[{""geometry"":[{""x"":1,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":1,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948534000,1584948535000,21.874,0 (9).png,0.99,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845fo4amw2o0899cri2b74i
ck845fp2skhlp09428fnq2914,ck84591igdb0g0go6gf6lfjzc,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2F1aca6836-50c6-5678-257c-a276ca5b588a-crop5.png?Expires=1586158262914&KeyName=labelbox-assets-key-1&Signature=zZQ5m_wgrPlCINt9Br_-flPvH34,"{""0"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948536000,1584948536000,21.502,crop5.png,,,,,0,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845fp2skhlp09428fnq2914
ck845g1k97n1w0981uhtkarfh,ck8459f8odb0k0go6fvhdh0wn,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2Ff085503d-f97f-3e87-fbfe-9e3232e63042-1%20(1).png?Expires=1586158262914&KeyName=labelbox-assets-key-1&Signature=f-0Yw9v1dmTxYn-t2aS_wmdgY20,"{""1"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948552000,1584948552000,15.459,1 (1).png,,,,,1,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845g1k97n1w0981uhtkarfh
ck845ggyokhyu0942sbrcqkym,ck8459f8pdb0w0go66faiasul,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2F6a196971-e291-02f2-1789-1e8cd29474a1-1%20(8).png?Expires=1586158262914&KeyName=labelbox-assets-key-1&Signature=FtR7oiQFc321uEEyA5jLzkDIM9U,"{""1"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948572000,1584948572000,19.285,1 (8).png,,,,,1,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845ggyokhyu0942sbrcqkym
ck845goud1o3j086380398cn3,ck8459f8pdb180go6avs7hpny,https://storage.labelbox.com/ck845685ubkbg08328rgobmjp%2Fc4b6067b-ae60-7495-89ce-b94a65da5ec7-crop2%20(2).png?Expires=1586158262914&KeyName=labelbox-assets-key-1&Signature=JBLnxJiv2_J0euRTBkJ9KiIok0Q,"{""1"":[{""geometry"":[{""x"":0,""y"":0},{""x"":100,""y"":0},{""x"":100,""y"":90},{""x"":0,""y"":90}]}]}",rahmanrashiq56@gmail.com,Dataset ex,1584948582000,1584948582000,9.498,crop2 (2).png,,,,,1,[],https://image-segmentation-v4.labelbox.com?project=ck845808uuft90826yyk39ruo&label=ck845goud1o3j086380398cn3
